id,bang_1,bang_2,bang_3,bang_4,bang_5,bang_6,bang_7,bang_8,bang_9,bang_10,bang_11,bang_12,bang_13,bang_14,bang_15,bang_16,bang_17,bang_18
354,4,2,3,2,2,5,4,4,3,6,4,7,2,2,4,2,1,1
355,5,6,5,5,5,5,7,7,7,3,3,2,3,5,3,5,3,3
356,4,6,6,3,5,4,4,4,5,2,6,1,2,3,2,1,4,1
357,5,5,4,4,5,7,5,5,5,3,4,4,3,4,1,1,5,3
358,7,7,6,2,1,2,6,6,5,3,2,2,3,2,3,5,1,2
359,5,5,4,4,4,4,5,5,5,4,5,4,5,4,4,2,2,2
360,6,7,6,1,1,1,6,6,6,5,1,4,5,6,4,1,1,1
361,4,4,7,6,5,5,7,6,6,3,4,3,2,2,2,1,1,1
362,4,7,2,2,4,6,7,7,5,7,5,7,5,5,4,1,1,1
363,7,7,7,1,2,1,7,7,7,2,5,1,4,7,3,3,2,1
364,6,6,5,5,3,3,6,6,6,3,2,2,2,3,3,2,3,2
365,6,4,5,4,1,5,7,6,7,3,4,2,7,7,3,1,1,4
366,6,6,6,3,3,5,7,7,6,1,2,1,5,4,6,1,1,1
367,5,5,6,2,4,2,5,5,6,1,1,1,1,1,1,1,1,1
368,6,6,7,5,6,5,6,6,7,1,1,1,6,6,2,1,1,1
369,6,7,6,6,2,1,6,6,6,1,1,1,5,5,7,1,2,1
370,7,7,7,1,3,1,7,7,7,1,1,1,1,4,7,3,1,4
371,6,6,5,2,2,2,6,7,7,1,2,3,6,5,4,5,2,2
372,7,5,6,2,2,2,6,6,6,2,4,1,5,6,6,1,2,5
373,6,6,6,2,2,2,5,6,6,2,2,2,5,5,4,1,1,1
374,6,6,6,2,1,1,7,7,6,1,4,1,6,7,4,1,2,1
375,5,5,5,4,1,1,6,6,6,2,2,2,4,5,2,2,4,1
376,6,5,5,2,2,2,6,5,6,4,2,2,4,4,4,1,2,1
377,6,6,6,5,3,5,7,6,6,2,2,1,5,3,4,1,3,4
378,7,7,7,3,3,4,6,6,7,3,3,2,7,7,6,1,1,4
379,7,7,6,3,5,4,7,5,5,3,2,3,4,5,4,5,1,4
380,7,6,6,4,2,7,7,5,6,2,1,6,1,1,2,1,1,1
381,4,5,6,1,1,1,5,6,4,1,1,1,1,4,1,1,1,1
382,7,7,5,5,2,4,7,5,5,1,3,1,4,2,3,5,1,3
383,6,7,6,6,2,3,5,5,4,5,1,4,5,6,6,5,3,4
384,4,5,4,4,4,5,4,4,2,5,3,3,2,2,1,5,3,5
385,3,1,1,6,4,4,3,5,1,5,3,5,1,1,1,7,3,7
386,5,7,6,2,2,5,7,6,6,2,2,1,4,4,4,1,4,4
387,7,5,7,5,5,1,5,7,7,1,1,1,4,4,4,1,1,1
388,5,3,4,2,4,5,3,4,6,5,3,4,4,5,6,4,4,3
389,5,4,4,3,4,5,5,6,5,3,4,5,4,4,4,4,4,4
390,5,6,5,4,5,6,6,6,6,7,6,5,7,7,6,2,3,3
391,2,3,3,1,1,3,5,5,3,2,1,1,1,1,4,1,1,1
392,5,6,5,5,6,7,7,7,7,1,1,1,5,4,5,5,1,3
393,7,7,7,7,3,7,7,7,7,1,1,1,6,7,7,1,1,1
394,4,4,4,3,5,5,2,3,4,4,3,5,3,4,2,2,3,3
395,5,3,5,3,5,6,5,5,5,2,5,2,2,3,3,2,2,1
396,5,5,5,5,2,5,4,5,5,5,3,4,3,3,3,6,3,5
397,4,3,4,4,5,7,5,4,6,5,2,3,7,7,4,6,3,6
398,6,2,3,5,2,7,2,1,2,2,5,2,7,6,3,7,6,6
399,5,4,5,2,1,5,1,2,2,5,5,4,1,1,1,7,6,7
400,4,6,3,5,2,1,6,3,5,4,3,1,1,1,1,7,7,7
401,5,5,6,5,5,6,6,6,6,5,1,6,6,6,6,5,2,4
402,7,7,7,1,5,1,7,7,7,1,1,1,4,7,1,1,4,1
403,6,7,7,4,4,2,6,6,4,2,1,1,4,4,4,2,2,1
404,6,7,6,3,4,3,6,6,5,3,3,2,6,5,5,5,2,3
405,1,4,2,5,1,1,6,7,6,5,1,1,1,6,1,1,1,1
406,3,7,7,1,1,1,6,7,5,1,2,1,2,4,4,1,1,7
407,6,7,7,6,4,5,6,6,6,2,3,3,6,6,5,6,4,6
408,2,4,5,5,5,6,2,5,6,2,2,2,4,5,4,2,4,2
409,1,5,6,2,2,2,7,6,5,2,5,6,6,2,6,1,1,1
410,4,3,2,6,4,3,4,5,4,3,5,2,3,5,3,3,2,3
411,5,7,6,1,3,1,6,6,5,2,1,1,6,5,2,1,1,1
412,6,7,5,2,2,1,6,6,5,1,2,1,4,4,4,1,1,1
413,5,7,6,5,5,1,7,7,5,1,1,1,5,4,2,1,1,1
414,5,5,5,3,4,3,5,5,5,3,2,3,5,5,4,4,3,2
415,7,6,5,5,7,6,6,6,5,4,1,5,6,7,3,6,2,4
416,3,4,5,5,3,5,5,7,7,1,4,1,6,5,6,6,1,1
417,7,5,4,5,1,2,7,7,7,6,6,5,6,6,5,1,1,6
418,7,6,6,1,2,1,6,6,6,4,2,1,1,2,4,1,1,1
419,6,6,5,2,1,4,5,6,6,2,2,2,7,6,7,1,1,1
420,7,5,6,4,7,7,7,7,4,6,2,6,4,5,4,7,6,7
421,7,7,7,5,2,2,7,7,7,5,6,1,7,7,1,1,1,1
422,5,4,6,5,5,5,6,5,5,5,3,3,6,5,6,3,2,5
