Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Video games,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
643ea8df73c40cc15ad70c44,5f343de4d0c07630b7f90b92,APPROVED,2023-04-18T14:27:43.465000Z,2023-04-18T14:35:31.053000Z,2023-04-18T15:57:01.723000,2023-04-18T14:35:31.591961Z,468,C1I6GZK1,457,6-9 hours,38,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
643ea8ffebf4dc7938182332,5eb86296a7371b0bc856c1fa,APPROVED,2023-04-18T14:28:19.423000Z,2023-04-18T14:38:20.530000Z,2023-04-18T15:57:15.931000,2023-04-18T14:38:20.914991Z,602,C1I6GZK1,66,10-12 hours,30,Female,White,Latvia,Latvia,Latvia,Latvian,No,Full-Time
643ea900ecc175f1841ecb46,61516f157092b66018472a2f,APPROVED,2023-04-18T14:28:19.035000Z,2023-04-18T14:33:19.614000Z,2023-04-18T15:57:01.861000,2023-04-18T14:33:20.012358Z,301,C1I6GZK1,260,0-3 hours,26,Male,White,Spain,Spain,Spain,Basque,DATA_EXPIRED,Full-Time
643ea902ebecf600f837c64c,5f5503435d41a489068ff50b,APPROVED,2023-04-18T14:28:18.424000Z,2023-04-18T14:35:50.798000Z,2023-04-18T15:57:01.981000,2023-04-18T14:35:51.245488Z,453,C1I6GZK1,371,13 hours or more,21,Male,White,Italy,Italy,Italy,Italian,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
643ea90ad42190d1b43e7186,642bcdcb1237089415a6f8ca,APPROVED,2023-04-18T14:28:31.669000Z,2023-04-18T14:37:26.878000Z,2023-04-18T15:57:02.111000,2023-04-18T14:37:27.744586Z,536,C1I6GZK1,8,10-12 hours,32,Male,White,Germany,Germany,Germany,German,No,Full-Time
643ea911cabe804031182335,5e6b9c4c45cecd000b7c6c7e,APPROVED,2023-04-18T14:28:33.482000Z,2023-04-18T14:34:33.488000Z,2023-04-18T15:57:16.064000,2023-04-18T14:34:34.668013Z,361,C1I6GZK1,58,0-3 hours,24,Female,White,Czech Republic,Czech Republic,Czech Republic,Czech,Yes,Full-Time
643ea914bb08290c7a9cdbc6,5f3a23adc252525e495e1dff,APPROVED,2023-04-18T14:28:40.195000Z,2023-04-18T14:35:05.536000Z,2023-04-18T15:57:02.235000,2023-04-18T14:35:05.893971Z,386,C1I6GZK1,47,13 hours or more,22,Male,White,Poland,Poland,Poland,Polish,Yes,Other
643ea917c0aa5325f6929f68,5cf66dcc37d62500177e7cf3,APPROVED,2023-04-18T14:28:43.959000Z,2023-04-18T14:35:31.297000Z,2023-04-18T15:57:02.362000,2023-04-18T14:35:31.749961Z,408,C1I6GZK1,484,6-9 hours,30,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
643ea91c12fafd79ef1ecb70,5e90e86f1ffa7e09c8890315,APPROVED,2023-04-18T14:28:44.656000Z,2023-04-18T14:37:03.990000Z,2023-04-18T15:57:02.482000,2023-04-18T14:37:07.864654Z,500,C1I6GZK1,60,13 hours or more,22,Male,White,Poland,Poland,Poland,Polish,Yes,Due to start a new job within the next month
643ea925753801b7be787010,5f9ea5d9e5f9ba44c8d2d7c8,APPROVED,2023-04-18T14:28:53.212000Z,2023-04-18T14:40:27.807000Z,2023-04-18T15:57:02.600000,2023-04-18T14:40:28.221352Z,695,C1I6GZK1,216,13 hours or more,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
643ea9279bc016d231929fb7,5f738de5cd78b40e58fb464b,APPROVED,2023-04-18T14:28:55.771000Z,2023-04-18T14:34:34.586000Z,2023-04-18T15:57:02.724000,2023-04-18T14:34:35.983715Z,339,C1I6GZK1,266,10-12 hours,22,Male,White,Spain,Spain,Spain,Spanish,Yes,Other
643ea92b26fb90cca4e0cc80,6140ff9c5750f0081ca8d71f,APPROVED,2023-04-18T14:28:59.108000Z,2023-04-18T14:39:07.078000Z,2023-04-18T15:57:02.851000,2023-04-18T14:39:07.506834Z,608,C1I6GZK1,94,13 hours or more,22,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Other
643ea92c6ef25fa497b3bc7f,60c702f34ec15c99d540ff20,APPROVED,2023-04-18T14:29:00.457000Z,2023-04-18T14:40:23.713000Z,2023-04-18T15:57:02.970000,2023-04-18T14:40:24.079375Z,684,C1I6GZK1,235,10-12 hours,23,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Part-Time
